,roc,avg_roc,std_roc,pos_f1,avg_pos_f1,std_pos_f1,weight_f1,avg_weight_f1,std_weight_f1,gmean,avg_gmean,std_gmean
aba,,,,,,,,,,,,
bal,,,,,,,,,,,,
hab,,,,,,,,,,,,
hou,,,,,,,,,,,,
let,,,,,,,,,,,,
wdbc,,,,,,,,,,,,
wpbc,"[0.7639751434326172, 0.42236027121543884, 0.7018634080886841, 0.7204968929290771, 0.7267080545425415, 0.6832298040390015, 0.7329192161560059, 0.7577639818191528, 0.546583890914917, 0.590062141418457, 0.7018633484840393, 0.7391304969787598, 0.6583850383758545, 0.6894410252571106, 0.7701863050460815, 0.8260869979858398, 0.7018634080886841, 0.8198757767677307, 0.5838509202003479, 0.9192546606063843, 0.7826087474822998, 0.7950310707092285, 0.6894409656524658, 0.6149068474769592, 0.7515528202056885, 0.8012422323226929, 0.6894410252571106, 0.6273291707038879, 0.6086956262588501, 0.7701863646507263, 0.5341614484786987, 0.8571428656578064, 0.8136646151542664, 0.8198757767677307, 0.9440994262695312, 0.4534161388874054, 0.7701863646507263, 0.5962733030319214, 0.8447204828262329, 0.8571428060531616, 0.7018633484840393, 0.6645963191986084, 0.7763974666595459, 0.6149068474769592, 0.6894409656524658, 0.6894409656524658, 0.7888199090957642, 0.7639751434326172, 0.7329192161560059, 0.5403726696968079]",0.7127950346469879,0.10804283315944577,"[0.8000000715255737, 0.8000000715255737, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.5, 0.8000000715255737, 0.5, 0.8000000715255737, 0.699999988079071, 0.6333333253860474, 0.7666666507720947, 0.8000000715255737, 0.8000000715255737, 0.7666666507720947, 0.6333333253860474, 0.7666666507720947, 0.7333333492279053, 0.7333333492279053, 0.8000000715255737, 0.8333333134651184, 0.8000000715255737, 0.7666666507720947, 0.8000000715255737, 0.8000000715255737, 0.7333333492279053, 0.7666666507720947, 0.699999988079071, 0.7666666507720947, 0.7666666507720947, 0.8333333134651184, 0.8666666746139526, 0.8000000715255737, 0.8333333134651184, 0.7666666507720947, 0.5666666626930237, 0.7666666507720947, 0.5333333611488342, 0.7666666507720947, 0.5666666626930237, 0.8000000715255737, 0.8333333134651184, 0.8000000715255737, 0.7666666507720947, 0.699999988079071, 0.7666666507720947, 0.8000000715255737, 0.7666666507720947, 0.6000000238418579]",0.7453333473205567,0.08686132857759818,"[0.7680000066757202, 0.7365384101867676, 0.7601745128631592, 0.6878306865692139, 0.7211809754371643, 0.6916667222976685, 0.5218855142593384, 0.7875000238418579, 0.5370152592658997, 0.7365384101867676, 0.7160055041313171, 0.6231314539909363, 0.6654087901115417, 0.7680000066757202, 0.7365384101867676, 0.6878306865692139, 0.6615384817123413, 0.7160055041313171, 0.7166666984558105, 0.6682745814323425, 0.7680000066757202, 0.7952070236206055, 0.7875000238418579, 0.6654087901115417, 0.7718518972396851, 0.7680000066757202, 0.690666675567627, 0.6654087901115417, 0.7066666483879089, 0.7333333492279053, 0.6654087901115417, 0.8157081007957458, 0.8583332896232605, 0.8079545497894287, 0.8157081007957458, 0.6654087901115417, 0.5939047932624817, 0.6654087901115417, 0.5479166507720947, 0.7502645254135132, 0.5987465977668762, 0.7365384101867676, 0.7952070236206055, 0.7365384101867676, 0.713289737701416, 0.6313725709915161, 0.7601745128631592, 0.7718518972396851, 0.7718518972396851, 0.6000000238418579]",0.7112272262573243,0.07447157393855372,"[0.7370277311900888, 0.8905635565617213, 0.6454972243679028, 0.5533715710928597, 0.6085806194501846, 0.5900968443520823, 0.5196152422706631, 0.7099295739719539, 0.47286624374346037, 0.8905635565617213, 0.6236095644623235, 0.5188745216627708, 0.46401616866730944, 0.7370277311900888, 0.8905635565617213, 0.5590169943749475, 0.5590169943749475, 0.58309518948453, 0.565685424949238, 0.5640760748177662, 0.7370277311900888, 0.9063269671749657, 0.7099295739719539, 0.5196152422706631, 0.7370277311900888, 0.8905635565617213, 0.5291502622129182, 0.4811252243246881, 0.5539117094069973, 0.6267831705280087, 0.32732683535398854, 0.9063269671749657, 0.8905635565617213, 0.7089749661627712, 0.9063269671749657, 0.41602514716892186, 0.5527707983925666, 0.5291502622129182, 0.5773502691896257, 0.637729225136579, 0.5175491695067657, 0.8905635565617213, 0.9063269671749657, 0.8905635565617213, 0.6267831705280087, 0.5, 0.6454972243679028, 0.8905635565617213, 0.6571287406727709, 0.5039526306789696]",0.6571205824016788,0.1571923472674749
yea,"[0.6030510663986206, 0.9121519327163696, 0.7312254309654236, 0.7662587463855743, 0.9410066902637482, 0.5477297902107239, 0.6187129616737366, 0.8264373242855072, 0.9319019317626953, 0.9346466660499573, 0.5031089186668396, 0.9618334472179413, 0.7392169237136841, 0.7234535813331604, 0.9580613374710083, 0.755542516708374, 0.4745621532201767, 0.9712878167629242, 0.9107563495635986, 0.9653568863868713, 0.620218813419342, 0.50809246301651, 0.9597050547599792, 0.5863132476806641, 0.817479819059372, 0.6053575277328491, 0.8523902297019958, 0.8899309635162354, 0.2898406684398651, 0.7248813807964325, 0.7879080176353455, 0.8101677000522614, 0.7199152112007141, 0.7683817744255066, 0.8676642775535583, 0.7426355481147766, 0.788221538066864, 0.7331224977970123, 0.889580488204956, 0.9283413887023926, 0.5859975218772888, 0.7061113715171814, 0.8524573445320129, 0.9946734011173248, 0.5576517879962921, 0.9946590065956116, 0.7568301260471344, 0.9933575391769409, 0.6674608588218689, 0.7423918843269348]",0.7703608384728432,0.16074349646000302,"[0.4910773038864136, 0.7513980269432068, 0.8953947424888611, 0.8823190927505493, 0.8979440927505493, 0.4347039461135864, 0.5549342036247253, 0.8312089145183563, 0.8901315927505493, 0.8940378427505493, 0.8953947424888611, 0.6490131616592407, 0.5875411331653595, 0.7631167769432068, 0.8847039341926575, 0.8953947424888611, 0.8953947424888611, 0.9476973712444305, 0.6936677694320679, 0.9437911212444305, 0.8953947424888611, 0.8953947424888611, 0.9371710419654846, 0.3073602020740509, 0.8914884924888611, 0.8953947424888611, 0.8953947424888611, 0.7970806062221527, 0.8953947424888611, 0.5352384746074677, 0.1479029580950737, 0.8940378427505493, 0.28273026645183563, 0.8967516422271729, 0.8940378427505493, 0.7157483696937561, 0.585156261920929, 0.8979440927505493, 0.6687088906764984, 0.8390214145183563, 0.7317022979259491, 0.29851973056793213, 0.8991365432739258, 0.9816611707210541, 0.8899671137332916, 0.9043996632099152, 0.7731496691703796, 0.9018503427505493, 0.5955180823802948, 0.8702714145183563]",0.7658478678762912,0.19983551659140217,"[0.5795639455318451, 0.7979060411453247, 0.8461008369922638, 0.8395382761955261, 0.9086155891418457, 0.5264774113893509, 0.6411171555519104, 0.8444843888282776, 0.9047935605049133, 0.9032895863056183, 0.8461008369922638, 0.7177365124225616, 0.6653665602207184, 0.7974304556846619, 0.9008180201053619, 0.8461008369922638, 0.8461008369922638, 0.9502436816692352, 0.7538936138153076, 0.9408208727836609, 0.8461008369922638, 0.8461008369922638, 0.9423653781414032, 0.3629143387079239, 0.8441482484340668, 0.8461008369922638, 0.8800278604030609, 0.8337809145450592, 0.8461008369922638, 0.6205553412437439, 0.13286874815821648, 0.8440578877925873, 0.3731928616762161, 0.872791200876236, 0.8707069754600525, 0.7553530335426331, 0.661469429731369, 0.8567283153533936, 0.7323197424411774, 0.8637710511684418, 0.7617434561252594, 0.34913502633571625, 0.9039258360862732, 0.9809236228466034, 0.8382322490215302, 0.9161355793476105, 0.7972994446754456, 0.9143657684326172, 0.669050931930542, 0.85342076420784]",0.777443727478385,0.17196741844488334,"[0.3490020294683086, 0.5220553908316653, 0.42694772008008514, 0.3976949141783238, 0.7020671806054636, 0.3364404436103072, 0.37322590117202403, 0.5278813523702883, 0.6947420917777357, 0.6897266345571464, 0.3269454867862315, 0.4670486960571516, 0.42483128169208045, 0.43100707525953597, 0.679396267116613, 0.4560022333678898, 0.26327569249863075, 0.8429224563426929, 0.4907683494042448, 0.8756126716643515, 0.3264240246071698, 0.29265291206001176, 0.792402959710522, 0.33887614639261426, 0.3271353015322034, 0.3268709473883358, 0.6933999582112159, 0.5714250012848923, 0.18854551915144407, 0.37721481954601965, 0.3320159689184821, 0.3205490600019286, 0.3301503281519583, 0.7536765024595122, 0.6048557845675517, 0.4704669524987854, 0.43709535472218275, 0.6100343092929865, 0.4864726404485271, 0.6204326556352716, 0.3323420561261921, 0.352722277878351, 0.7145299488556358, 0.9898272352772922, 0.3565047063961249, 0.7304320321953057, 0.4313896404868851, 0.7243746345230027, 0.42699933387339745, 0.5547186491062046]",0.5018426306028155,0.18197369158716123
pim,"[0.42236843705177307, 0.8490131497383118, 0.347697377204895, 0.8036184310913086, 0.5555920600891113, 0.3812500238418579, 0.6717104911804199, 0.7687499523162842, 0.8424341678619385, 0.522697389125824, 0.7940789461135864, 0.7358552813529968, 0.8111841678619385, 0.696710467338562, 0.7286183834075928, 0.6759868860244751, 0.49736839532852173, 0.6493421792984009, 0.43388158082962036, 0.7276315689086914, 0.7246710062026978, 0.6674342155456543, 0.4868420958518982, 0.643092155456543, 0.5874999761581421, 0.7036184072494507, 0.7194079160690308, 0.7217105627059937, 0.5279605388641357, 0.473355233669281, 0.602960467338562, 0.735855221748352, 0.5786184072494507, 0.7345395088195801, 0.6924341917037964, 0.6907894611358643, 0.6243420839309692, 0.6493420600891113, 0.6194078922271729, 0.6924341917037964, 0.46085524559020996, 0.5088815689086914, 0.8003289699554443, 0.8223683834075928, 0.5631579160690308, 0.45427632331848145, 0.5, 0.4657894968986511, 0.5480263233184814, 0.7171052694320679]",0.6326578885316849,0.12874429665999929,"[0.6637930870056152, 0.7068965435028076, 0.6551724076271057, 0.6206896305084229, 0.5344827771186829, 0.6465517282485962, 0.568965494632721, 0.7241378426551819, 0.7068965435028076, 0.6465517282485962, 0.7241378426551819, 0.6379310488700867, 0.6896551847457886, 0.6982758641242981, 0.7068965435028076, 0.6551724076271057, 0.6551724076271057, 0.7155172228813171, 0.6465517282485962, 0.568965494632721, 0.7413793206214905, 0.6724137663841248, 0.568965494632721, 0.6293103694915771, 0.6982758641242981, 0.6206896305084229, 0.7068965435028076, 0.5603448152542114, 0.6637930870056152, 0.681034505367279, 0.6120689511299133, 0.6637930870056152, 0.6379310488700867, 0.6293103694915771, 0.6896551847457886, 0.6896551847457886, 0.6379310488700867, 0.6982758641242981, 0.6551724076271057, 0.6465517282485962, 0.6379310488700867, 0.6293103694915771, 0.6551724076271057, 0.7155172228813171, 0.6637930870056152, 0.6896551847457886, 0.6551724076271057, 0.6637930870056152, 0.681034505367279, 0.6896551847457886]",0.6591379261016845,0.04499999652877723,"[0.5382145643234253, 0.7126023769378662, 0.5290834903717041, 0.6257772445678711, 0.5155993103981018, 0.5244780778884888, 0.5292154550552368, 0.7098897099494934, 0.7108278870582581, 0.5397078394889832, 0.7308254241943359, 0.6468052864074707, 0.6948461532592773, 0.6844062805175781, 0.650780975818634, 0.6356402039527893, 0.5835888385772705, 0.6709527373313904, 0.5646835565567017, 0.5541200637817383, 0.7397429943084717, 0.6273946166038513, 0.5386244654655457, 0.6322777271270752, 0.6572293043136597, 0.624595046043396, 0.6842159032821655, 0.5565194487571716, 0.6045409440994263, 0.5951386094093323, 0.5913313627243042, 0.6720859408378601, 0.5850313305854797, 0.6369548439979553, 0.6656404733657837, 0.6928504705429077, 0.6379310488700867, 0.6302387714385986, 0.6399327516555786, 0.6549664735794067, 0.5921739339828491, 0.5665754079818726, 0.656915545463562, 0.7220973372459412, 0.5859184861183167, 0.6221296191215515, 0.559151291847229, 0.6180554628372192, 0.6238446235656738, 0.655493974685669]",0.6244328737258911,0.059416410900800395,"[0.8129388446970603, 0.7142200600078711, 0.4672141752405664, 0.6322099659083118, 0.48569273815596203, 0.4036662341234756, 0.5911975668985759, 0.6943650748294137, 0.7205932683456688, 0.4934168283191098, 0.7113032974423645, 0.6145555885585708, 0.6966305460192359, 0.6763995415945232, 0.8129388446970603, 0.6087520264721583, 0.5773502691896257, 0.7230299283070671, 0.5430577631928951, 0.6421861885584226, 0.7085367255816566, 0.816496580927726, 0.49256771191347104, 0.5811085625908523, 0.6793662204867574, 0.5729597091269405, 0.6746577232035967, 0.6085806194501845, 0.6651901052377392, 0.8201014398727855, 0.525042515285327, 0.6839041363560157, 0.5414101956926929, 0.6347917188462602, 0.6468989572333266, 0.6651901052377392, 0.5863019699779287, 0.7334182901794024, 0.5935256753272998, 0.6442231555745289, 0.5414101956926929, 0.4930333980910489, 0.689202437604511, 0.6900655593423543, 0.6186274071995203, 0.8129388446970603, 0.5139561687500467, 0.6030226891555273, 0.6605782590758164, 0.6559513006645672]",0.6354955425786664,0.09642928951307272
p1,,,,,,,,,,,,
