,roc,avg_roc,std_roc,pos_f1,avg_pos_f1,std_pos_f1,weight_f1,avg_weight_f1,std_weight_f1,gmean,avg_gmean,std_gmean
aba,,,,,,,,,,,,
bal,,,,,,,,,,,,
hab,,,,,,,,,,,,
hou,,,,,,,,,,,,
let,,,,,,,,,,,,
wdbc,,,,,,,,,,,,
wpbc,,,,,,,,,,,,
yea,,,,,,,,,,,,
pim,,,,,,,,,,,,
p1,"[0.6396739482879639, 0.7004858255386353, 0.680733323097229, 0.5064476728439331, 0.7004920244216919, 0.7049386501312256, 0.7022397518157959, 0.5567358732223511, 0.6147027015686035, 0.6801053881645203, 0.5787755250930786, 0.6461606025695801, 0.5504693388938904, 0.5618823766708374, 0.6437253355979919, 0.6440011262893677, 0.5998847484588623, 0.6321064233779907, 0.6501873731613159, 0.6467123627662659, 0.6885293126106262, 0.6888710856437683, 0.68777996301651, 0.49905920028686523, 0.6882678866386414, 0.5690217018127441, 0.5857131481170654, 0.6161149740219116, 0.6882781982421875, 0.6590868234634399, 0.6604578495025635, 0.614317774772644, 0.6349266767501831, 0.660783052444458, 0.6580801010131836, 0.6560729742050171, 0.5664361119270325, 0.6601284742355347, 0.6613060235977173, 0.603227972984314, 0.6261446475982666, 0.6505516767501831, 0.6383440494537354, 0.6840826272964478, 0.6730237007141113, 0.6768671274185181, 0.522274374961853, 0.5181427001953125, 0.6836400628089905, 0.6843955516815186]",0.6348877239227295,0.054778005554860544,"[0.8037802413105964, 0.70078125, 0.8625, 0.7865423381328582, 0.8625, 0.7528225809335709, 0.7395917326211929, 0.7320060476660728, 0.7634576618671417, 0.7828629031777382, 0.8625, 0.7193800389766694, 0.8625, 0.8150453627109527, 0.8625, 0.8625, 0.8625, 0.8625, 0.7574092745780945, 0.8625, 0.7465725809335708, 0.7651713699102402, 0.7133820593357086, 0.8625, 0.7794858872890472, 0.8138860881328582, 0.86171875, 0.7056451618671418, 0.8579133063554764, 0.85390625, 0.7284526199102401, 0.832283265888691, 0.8625, 0.751587700843811, 0.8625, 0.8625, 0.7373739913105964, 0.7048639118671417, 0.7111643135547638, 0.7394153222441673, 0.8021673381328582, 0.7792842745780945, 0.8625, 0.6962449610233307, 0.794783265888691, 0.8625, 0.6821320563554764, 0.7304435476660729, 0.7942288309335709, 0.721875]",0.7919032257199287,0.06104300362943444,"[0.8526743054389954, 0.8074247658252716, 0.8480769246816635, 0.8361400246620179, 0.8483793050050735, 0.8377669632434845, 0.8285756707191467, 0.8127287358045578, 0.838707709312439, 0.8097927808761597, 0.8480769246816635, 0.8141152501106262, 0.8480769246816635, 0.8346233069896698, 0.8480769246816635, 0.8538691431283951, 0.8480769246816635, 0.8480769246816635, 0.8365226864814759, 0.8635247498750687, 0.8310062289237976, 0.8441928625106812, 0.8177135229110718, 0.8480769246816635, 0.854921406507492, 0.8563369452953339, 0.8476847678422927, 0.7996198177337647, 0.8542500019073487, 0.8597032189369201, 0.8183964550495147, 0.8490684270858765, 0.8480769246816635, 0.8227138757705689, 0.8492447137832642, 0.8480769246816635, 0.8139156818389892, 0.8002845048904419, 0.8064597845077515, 0.8093625485897065, 0.8454376935958863, 0.8478525042533874, 0.8545025065541267, 0.8034860134124756, 0.8256569296121598, 0.8480769246816635, 0.7530879735946655, 0.8095010191202163, 0.8588503360748291, 0.8192723631858826]",0.8341627349555492,0.021557028157599658,"[0.06479721242044476, 0.06514154628677139, 0.8, 0.05329802922558774, 0.8, 0.1, 0.06697433909341906, 0.05571247481320737, 0.0670820393249937, 0.064195873517065, 0.8, 0.1, 0.8, 0.060356086212221736, 0.8, 0.8, 0.8, 0.8, 0.06151246852292456, 0.8, 0.06697433909341906, 0.07121396331779725, 0.07019641181630339, 0.8, 0.16432675209026767, 0.06503722516134579, 0.7, 0.05350657615765696, 0.26912471198096677, 0.1, 0.06426634191689476, 0.05637345210021216, 0.8, 0.06613825674938789, 0.8, 0.8, 0.05777033238726485, 0.1614778623494272, 0.1, 0.05670371244270245, 0.049999999999999996, 0.05730893233598229, 0.8, 0.1, 0.059944813075504796, 0.8, 0.05294981400989812, 0.052437473885541874, 0.0611585974120053, 0.1]",0.3083195927539843,0.33513763686755216
