,roc,avg_roc,std_roc,pos_f1,avg_pos_f1,std_pos_f1,weight_f1,avg_weight_f1,std_weight_f1,gmean,avg_gmean,std_gmean
aba,,,,,,,,,,,,
bal,,,,,,,,,,,,
hab,,,,,,,,,,,,
hou,,,,,,,,,,,,
let,,,,,,,,,,,,
wdbc,,,,,,,,,,,,
wpbc,,,,,,,,,,,,
yea,,,,,,,,,,,,
pim,,,,,,,,,,,,
p1,,,,,,,,,,,,
p2,,,,,,,,,,,,
p3,,,,,,,,,,,,
cre,,,,,,,,,,,,
c,"[0.6313246074650023, 0.6226378033558527, 0.6216255360179477, 0.6217337581846449, 0.6306217279699113, 0.6221484310097165, 0.6299906257126067, 0.6322244852781296, 0.6275298744440079, 0.6276471879747179, 0.638820469379425, 0.6317265116506152, 0.6392128119866053, 0.6336903621753057, 0.6342644873592589, 0.6431058165099885, 0.641910120844841, 0.6366494844357172, 0.6431387199295892, 0.634595662355423, 0.6512425740559896, 0.6419992231660419, 0.6487466245889664, 0.6488922370804681, 0.6463416433996625, 0.6490339073869917, 0.660092274347941, 0.6422640101777183, 0.644559414850341, 0.6547775682475832, 0.6368632002009286, 0.6546391977204217, 0.6385276367266973, 0.6510196742084291, 0.6379844049612681, 0.6403174930148654, 0.6503019879261652, 0.644824700223075, 0.6430235256751379, 0.6530407551262114, 0.6619235293732749, 0.662852418091562, 0.6648474766148461, 0.6644875622457929, 0.6583992540836334, 0.6567267924547195, 0.65665136774381, 0.6611863027016321, 0.6583240230878195, 0.6648563775751326]",0.6438669128219288,0.012342389844854322,"[0.779383682542377, 0.779383682542377, 0.779383682542377, 0.779383682542377, 0.779383682542377, 0.779383682542377, 0.779383682542377, 0.779383682542377, 0.779383682542377, 0.779383682542377, 0.7828993052244186, 0.7828993052244186, 0.7815972218910853, 0.782248263557752, 0.7828993052244186, 0.7828993052244186, 0.7828993052244186, 0.7828993052244186, 0.7828993052244186, 0.7828993052244186, 0.7817274298932817, 0.7817274298932817, 0.7817274298932817, 0.7817274298932817, 0.7817274298932817, 0.782248263557752, 0.7817274298932817, 0.7817274298932817, 0.7817274298932817, 0.7817274298932817, 0.7770399302244186, 0.7770399302244186, 0.7770399302244186, 0.7770399302244186, 0.7770399302244186, 0.7770399302244186, 0.7770399302244186, 0.7770399302244186, 0.7770399302244186, 0.7774739580021964, 0.7805555562178293, 0.7805555562178293, 0.7805555562178293, 0.7805555562178293, 0.7822916673289405, 0.7809895839956071, 0.7805555562178293, 0.7805555562178293, 0.7805555562178293, 0.7805555562178293]",0.7803446183270879,0.001992806734830686,"[0.6928124063544803, 0.68841310011016, 0.713516397608651, 0.7064269466532601, 0.7010536972019408, 0.702542268567615, 0.6886670506662793, 0.7061815741989348, 0.7171697417894999, 0.7195387168063058, 0.7184431056181589, 0.6893156220515569, 0.6996092432075076, 0.7281366636355718, 0.7093069983853234, 0.7074680742290285, 0.7167185727092955, 0.7141386320193609, 0.6884255227115419, 0.7227376616663403, 0.6864767753415637, 0.7156089411841499, 0.7003258648845885, 0.7221185051732593, 0.7115809602869881, 0.7165816062026553, 0.6997284673982196, 0.7050588925679525, 0.7082547479205661, 0.7183225750923157, 0.7199814865986506, 0.720834783381886, 0.7058321353462007, 0.7192328539159563, 0.7207487159305148, 0.6919491390387217, 0.7182705733511183, 0.7083789772457547, 0.6995763778686523, 0.7054655585024092, 0.7310352159870995, 0.7185340209139718, 0.7081793000300726, 0.7224988473786248, 0.7064700110091103, 0.7334866540299522, 0.7312441252999835, 0.6936572757032182, 0.694031642542945, 0.6941019280089272]",0.7091637790865368,0.012354602157092555,"[0.503988734818781, 0.4870315439982742, 0.5232909167331752, 0.48948990999197345, 0.4866991226607915, 0.510253433484923, 0.5020372420802922, 0.5208721308823887, 0.5240233746958761, 0.5216225988053164, 0.5070280536813634, 0.5062017192565774, 0.5077431483502275, 0.5375071526206522, 0.5156166061490999, 0.504027946283302, 0.5208941569518862, 0.5120687985983935, 0.495057794007397, 0.5288738087232892, 0.4999726224936152, 0.5175420084355729, 0.516153743291087, 0.5368333105329312, 0.521004382958304, 0.5264397807825003, 0.5095351436791717, 0.5207970673666033, 0.5215905197099462, 0.5311884579138092, 0.5417419086619178, 0.5487011929025398, 0.5191478488272412, 0.5518128756034826, 0.5499236816480809, 0.5142888371300726, 0.5356313643085577, 0.5196121760614009, 0.5156588031852786, 0.5384770956908249, 0.5665912496425256, 0.5352286466809956, 0.5208059403466232, 0.5432714267028378, 0.5269017245503359, 0.570967099317076, 0.5728292758028715, 0.5115022078638874, 0.5252882428746849, 0.5149966428821997]",0.522575269412419,0.019332766952367974
