,roc,avg_roc,std_roc,pos_f1,avg_pos_f1,std_pos_f1,weight_f1,avg_weight_f1,std_weight_f1,gmean,avg_gmean,std_gmean
aba,,,,,,,,,,,,
bal,,,,,,,,,,,,
hab,,,,,,,,,,,,
hou,"[0.46145832538604736, 0.6385416984558105, 0.6322916746139526, 0.6145833730697632, 0.4906250238418579, 0.6385416984558105, 0.48750001192092896, 0.6593749523162842, 0.6020833253860474, 0.5395833253860474, 0.7895833253860474, 0.7645833492279053, 0.4520833492279053, 0.6145833730697632, 0.7937499284744263, 0.4156249761581421, 0.5145833492279053, 0.4854166507720947, 0.5614583492279053, 0.5489583015441895, 0.5333333015441895, 0.5895832777023315, 0.590624988079071, 0.5427083969116211, 0.6520832777023315, 0.5656249523162842, 0.5572916269302368, 0.5552083253860474, 0.5249999761581421, 0.5645833015441895, 0.5020833015441895, 0.6177083253860474, 0.6656249761581421, 0.5531250238418579, 0.5760416388511658, 0.6520833373069763, 0.563281238079071, 0.7104166746139526, 0.5510416030883789, 0.6583333015441895, 0.5750000476837158, 0.6749999523162842, 0.6239583492279053, 0.6635416746139526, 0.6166666746139526, 0.6395833492279053, 0.7229166626930237, 0.4854166507720947, 0.41979169845581055, 0.5958333015441895]",0.588973951,0.085475897,"[0.7894737124443054, 0.7763158679008484, 0.8026315569877625, 0.7368420958518982, 0.7631579041481018, 0.7894737124443054, 0.7763158679008484, 0.7236842513084412, 0.7763158679008484, 0.6315789222717285, 0.7894737124443054, 0.6973684430122375, 0.21052633225917816, 0.21052633225917816, 0.7894737124443054, 0.5, 0.21052633225917816, 0.7631579041481018, 0.5263158082962036, 0.7894737124443054, 0.7894737124443054, 0.8157894611358643, 0.5657894611358643, 0.5921052694320679, 0.7894737124443054, 0.7894737124443054, 0.7894737124443054, 0.7894737124443054, 0.21052633225917816, 0.7894737124443054, 0.21052633225917816, 0.7631579041481018, 0.7894737124443054, 0.46052631735801697, 0.4210526645183563, 0.7894737124443054, 0.8157894611358643, 0.2763157784938812, 0.3684210479259491, 0.75, 0.21052633225917816, 0.7631579041481018, 0.7894737124443054, 0.7763158679008484, 0.43421053886413574, 0.7894737124443054, 0.3947368562221527, 0.30263158679008484, 0.8026315569877625, 0.30263158679008484]",0.623684229,0.217563318,"[0.6965944766998291, 0.7403544187545776, 0.7265222668647766, 0.7165871262550354, 0.7184394598007202, 0.7186000347137451, 0.6900585293769836, 0.7127617597579956, 0.7098079919815063, 0.6586921215057373, 0.6965944766998291, 0.7183153033256531, 0.07322654873132706, 0.07322654873132706, 0.7165871262550354, 0.5367965698242188, 0.07322654873132706, 0.6834250688552856, 0.5611757040023804, 0.6965944766998291, 0.7184394598007202, 0.7810084819793701, 0.6058302521705627, 0.6099339127540588, 0.6965944766998291, 0.7186000347137451, 0.6965944766998291, 0.7310855388641357, 0.07322654873132706, 0.7358851432800293, 0.07322654873132706, 0.7028708457946777, 0.6965944766998291, 0.5093671679496765, 0.4502432942390442, 0.6965944766998291, 0.7537750005722046, 0.23120400309562683, 0.377612441778183, 0.7575091123580933, 0.07322654873132706, 0.7267098426818848, 0.6965944766998291, 0.7105263471603394, 0.45979803800582886, 0.6965944766998291, 0.3850895166397095, 0.2729227840900421, 0.7265222668647766, 0.29719752073287964]",0.571579281,0.225516317,"[0.34978985287808245, 0.5897678246195885, 0.8944271909999159, 0.543437242094393, 0.5163977794943222, 0.6313862911472252, 0.0, 0.5149286505444371, 0.4964157243969729, 0.4698608632023216, 0.0, 0.5573044368153888, 0.0, 0.0, 0.5252257314388902, 0.36313651960128146, 0.0, 0.24194335156365357, 0.46499055497527714, 0.0, 0.5163977794943222, 0.7432233529572065, 0.46177962072666967, 0.449544872437107, 0.0, 0.6313862911472252, 0.48349377841522817, 0.5507348032668825, 0.0, 0.6346477588219924, 0.0, 0.4567458593631161, 0.0, 0.46499055497527714, 0.4618802153517006, 0.0, 0.9004503377814963, 0.4714045207910317, 0.4681645887845222, 0.601629059630956, 0.0, 0.5414061673879813, 0.48019603839902475, 0.5143444998736397, 0.5121475197315839, 0.0, 0.508000508000762, 0.43166584730171564, 0.8944271909999159, 0.4618802153517006]",0.395991068,0.262651678
let,"[0.6754222239057223, 0.9358944545189539, 0.9869918574889501, 0.39072899520397186, 0.9929290066162745, 0.828943466146787, 0.5001377873122692, 0.5331375996271769, 0.7380210856596628, 0.27413262613117695, 0.8381211161613464, 0.5116012295087179, 0.23528944017986456, 0.9880754699309667, 0.8490190431475639, 0.39629960370560485, 0.29389481743176776, 0.9573618248105049, 0.9054873635371526, 0.7712045485774676, 0.9984430720408758, 0.8626872698465983, 0.9942167450984319, 0.9980900287628174, 0.3891860507428646, 0.9977970570325851, 0.9915462732315063, 0.8163576001922289, 0.9716028794646263, 0.9922209332386652, 0.9936506276329359, 0.9196166594823202, 0.4460090349117915, 0.9582347248991331, 0.4888388278583686, 0.725369373957316, 0.4447660980125268, 0.11812449557085831, 0.7167330831289291, 0.8073822483420372, 0.6782754883170128, 0.9644746681054434, 0.9990111812949181, 0.46199757357438404, 0.8192614689469337, 0.9971373304724693, 0.985736794769764, 0.6860950713356336, 0.8598827968041102, 0.7275180220603943]",0.748259141,0.249189404,"[0.8350539430975914, 0.84375, 0.9306175584594408, 0.4665643597642581, 0.9131789430975914, 0.810314359764258, 0.814220609764258, 0.3343098958333333, 0.618396577735742, 0.2004278271148602, 0.4694475444654624, 0.2357235855112473, 0.5307849695285162, 0.896716890235742, 0.7096819207072258, 0.3849051333963871, 0.2865513389309247, 0.978004090487957, 0.7049851169188818, 0.7236328125, 0.98828125, 0.8642578125, 0.9513113821546236, 0.9597749238212904, 0.20549665143092474, 0.995349702735742, 0.9917689735690752, 0.9188523069024086, 0.969959077735742, 0.8985305055975914, 0.9940476194024086, 0.9066685264309248, 0.2440011159827312, 0.8726748501261076, 0.08184523787349463, 0.6645275304714838, 0.4086681542297204, 0.2021019340803226, 0.8445405513048172, 0.9266183028618494, 0.8186848958333334, 0.8656994054714838, 0.9647507444024086, 0.5146019334594408, 0.8373325889309248, 0.936988465487957, 0.9115048373738924, 0.7772042378783226, 0.9156436001261076, 0.3369605652987957]",0.709118303,0.27241265,"[0.8749584803978602, 0.8894223769505819, 0.9447089185317358, 0.6083855057756106, 0.9343202188611031, 0.8662425130605698, 0.8617014661431313, 0.4557788297533989, 0.7316679110129675, 0.2982997627307971, 0.5995543921987215, 0.35723146175344783, 0.664736362795035, 0.9228415861725807, 0.7979461525877317, 0.5227384666601816, 0.4203321461876233, 0.9776141370336214, 0.7946902140974998, 0.8062933385372162, 0.9896805956959724, 0.8979820037881533, 0.9608421996235847, 0.9676273887356123, 0.29676711435119313, 0.9948740229010582, 0.9910884946584702, 0.9191439027587572, 0.97352284938097, 0.9246528968214989, 0.993721030652523, 0.9278931592901548, 0.34789871734877426, 0.9083004668354988, 0.09783029028524955, 0.7659227773547173, 0.5465943701565266, 0.31719966419041157, 0.8837958350777626, 0.9331238692005476, 0.8666966482996941, 0.9043935537338257, 0.9717571983734766, 0.6520416686932246, 0.8803927153348923, 0.9516875818371773, 0.9349989593029022, 0.8438685536384583, 0.9198709055781364, 0.46775492032368976]",0.767227772,0.234752068,"[0.2185867950586143, 0.44064562294320414, 0.5781951651725529, 0.16623893084566882, 0.5464676920465152, 0.3642130380918573, 0.09433268278175438, 0.22712578104473324, 0.23919963844878825, 0.14823314985563565, 0.2496932152383984, 0.19609594769030111, 0.05427936856270938, 0.5017912317655554, 0.3117010590449299, 0.18687415724056008, 0.19624988953880154, 0.8586963066575328, 0.2952033310153348, 0.27025858352205806, 0.8528188970991359, 0.356047153155104, 0.6421596050852416, 0.6981358252480673, 0.17473142026556773, 0.949336968308585, 0.9459252462987598, 0.09983483221489077, 0.7227354667544902, 0.5095083498808808, 0.9793279097169902, 0.4756360534369186, 0.18441775451516432, 0.46167074696442917, 0.17639199910351408, 0.24425129833409379, 0.21337605540004798, 0.0537029308789952, 0.2268043460184428, 0.3495780277366815, 0.10910330776235522, 0.431758054569962, 0.6687571592717886, 0.17592141726083066, 0.3090565399931941, 0.5702307264150491, 0.5163643449591678, 0.20948471671363086, 0.3042671207003605, 0.19657186591436052]",0.379039755,0.247849537
wdbc,"[0.8871527910232544, 0.41724538803100586, 0.9745370149612427, 0.9658565521240234, 0.9866898059844971, 0.36168980598449707, 0.8715277910232544, 0.9618055820465088, 0.968171238899231, 0.43113425374031067, 0.9641203880310059, 0.9878472089767456, 0.7262731790542603, 0.35185185074806213, 0.9728009700775146, 0.8576388955116272, 0.16782408952713013, 0.9699074029922485, 0.9728009104728699, 0.24189814925193787, 0.9519675970077515, 0.874421238899231, 0.9212963581085205, 0.8090277910232544, 0.5978009700775146, 0.9681712985038757, 0.23495370149612427, 0.8964120149612427, 0.9508101940155029, 0.921875, 0.09837962687015533, 0.9201388359069824, 0.9809027910232544, 0.9884259104728699, 0.967013955116272, 0.8454861044883728, 0.43460649251937866, 0.9363425970077515, 0.5607638359069824, 0.9722222089767456, 0.8032407760620117, 0.8796296119689941, 0.32928240299224854, 0.13425925374031067, 0.9670138955116272, 0.9322916865348816, 0.5885416865348816, 0.9571759700775146, 0.9635416269302368, 0.9525463581085205]",0.767546301,0.276122031,"[0.5116279125213623, 0.24418604373931885, 0.9069767594337463, 0.895348846912384, 0.9534883499145508, 0.6279069781303406, 0.38372093439102173, 0.9186046719551086, 0.9069767594337463, 0.4651162922382355, 0.9186046719551086, 0.7558139562606812, 0.7441860437393188, 0.6162790656089783, 0.9418603777885437, 0.8023255467414856, 0.6627907156944275, 0.930232584476471, 0.930232584476471, 0.6279069781303406, 0.9069767594337463, 0.7790697813034058, 0.3720930218696594, 0.6860465407371521, 0.5930232405662537, 0.8372092843055725, 0.5348837375640869, 0.8023255467414856, 0.4883720874786377, 0.7790697813034058, 0.23255814611911774, 0.9069767594337463, 0.3720930218696594, 0.39534884691238403, 0.930232584476471, 0.8837209343910217, 0.6395348906517029, 0.9186046719551086, 0.7441860437393188, 0.930232584476471, 0.7325581312179565, 0.3720930218696594, 0.5813953280448914, 0.6279069781303406, 0.895348846912384, 0.8720930814743042, 0.6976743936538696, 0.8372092843055725, 0.930232584476471, 0.9186046719551086]",0.718837213,0.205385709,"[0.47004103660583496, 0.16049322485923767, 0.9069766998291016, 0.8932297825813293, 0.9527685046195984, 0.48438534140586853, 0.2446703165769577, 0.9169564247131348, 0.9035399556159973, 0.47209304571151733, 0.9177030324935913, 0.756507396697998, 0.731339156627655, 0.5423354506492615, 0.941665768623352, 0.7800178527832031, 0.558779776096344, 0.9291528463363647, 0.9291528463363647, 0.48438534140586853, 0.9046132564544678, 0.7817121148109436, 0.20181316137313843, 0.6149272918701172, 0.5436760187149048, 0.8237590789794922, 0.43763217329978943, 0.7800178527832031, 0.41672050952911377, 0.7827443480491638, 0.2403714805841446, 0.9046132564544678, 0.20181316137313843, 0.2501432001590729, 0.928459882736206, 0.8778814077377319, 0.5104212760925293, 0.9160839319229126, 0.727459728717804, 0.9291528463363647, 0.7079305648803711, 0.20181316137313843, 0.5468090176582336, 0.5423354506492615, 0.896196722984314, 0.8731293678283691, 0.6865047812461853, 0.8346899747848511, 0.9297415018081665, 0.9192640781402588]",0.677772488,0.248353055,"[0.6123724356957945, 0.14517167628488534, 0.9216067351961867, 0.9033660983210137, 0.9649012813540153, 0.2946171696841418, 0.6135719910778964, 0.9300723230219654, 0.9332565252573828, 0.469041575982343, 0.9216098910540003, 0.7770286898858113, 0.7580553326268101, 0.5318160234783105, 0.9404559947205744, 0.8721028496007166, 0.8065992869067975, 0.9386999709534354, 0.9386999709534354, 0.3168310079773287, 0.9332565252573828, 0.7610194341477615, 0.0, 0.816496580927726, 0.6134688957245554, 0.8911327886790068, 0.2961744388795462, 0.8721028496007166, 0.6488856845230502, 0.7684982159003864, 0.10274023338281629, 0.9216067351961867, 0.0, 0.6172133998483676, 0.9486832980505138, 0.9185586535436918, 0.7970533969860857, 0.94087507228077, 0.8065992869067975, 0.9386999709534354, 0.7710715155232244, 0.2168323658137228, 0.4958982079819795, 0.5318160234783105, 0.8830809321761564, 0.8586354884121575, 0.6735198826004059, 0.8660254037844387, 0.9309493362512627, 0.9074852129730301]",0.706365133,0.271973232
wpbc,,,,,,,,,,,,
yea,,,,,,,,,,,,
pim,,,,,,,,,,,,
p1,,,,,,,,,,,,
